event_id,name,venue_id,date,price,seat_amount
101,Astana FC vs Kairat,1,2023-05-15,15000,40
102,Almaty Marathon,2,2023-05-21,7000,51
103,Barys Hockey Game,3,2023-05-25,9500,33
104,National Football Match,1,2023-06-01,12000,25
105,Saryarka Cycling Race,5,2023-06-10,6000,12
106,Medeo Figure Skating Championship,6,2023-06-15,9000,43
107,National Tennis Championship,7,2023-06-20,4000,57
108,Snow Leopard Ski Race,8,2023-06-25,18000,34
201,Shymkent Music Festival,9,2023-07-01,2500,42
202,Kok-Tobe Jazz Night,10,2023-07-10,4000,11
301,Demon Slayer Movie Premier,12,2023-06-1,2000,23
401,Swan Lake Ballet,11,2023-05-29,6500,82
